Category,count
FAMILY,1606
GAME,910
TOOLS,719
PRODUCTIVITY,301
LIFESTYLE,297
FINANCE,296
PERSONALIZATION,296
MEDICAL,292
PHOTOGRAPHY,263
BUSINESS,262
