Genre,count
Tools,719
Education,587
Entertainment,498
Action,304
Productivity,301
Lifestyle,298
Personalization,296
Finance,296
Medical,292
Sports,270
Photography,263
Business,262
Communication,258
Health & Fitness,245
Casual,216
